title,oldUrl,category,action,targetPath,contentType,persona
App integration overview,/t/m1yzjvq/app-integration-overview,Product Documentation / 📒 User guide / Apps / Building apps / Integrations in apps,migrate,build/integrations/app-integration-overview,overview,citizen-developer
Managing component style properties,/t/y4yzj9m/managing-component-style-properties,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/managing-component-style-properties,reference,citizen-developer
Tab,/t/p8yzj4s/tab,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/tab,reference,citizen-developer
Configuring actions for process form steps,/t/x2yzjc7/configuring-actions-for-process-form-steps,Product Documentation / 📒 User guide / Apps / Building apps / Processes in apps,migrate,build/processes/configuring-actions-for-process-form-steps,guide,citizen-developer
Managing dataform roles,/t/60yzja4/managing-dataform-roles,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/managing-dataform-roles-alt2,guide,citizen-developer
Boards overview,/t/g9yzjal/boards-overview,Product Documentation / 📒 User guide / Apps / Building apps / Boards in apps,migrate,build/boards/boards-overview,overview,citizen-developer
Importing data from a CSV,/t/83yxblc/importing-data-from-a-csv,Product Documentation / 📒 User guide / Decision tables / Decision tables for Kissflow Apps,migrate,build/decision-tables/importing-data-from-a-csv,guide,citizen-developer
Backing up data to Amazon S3,/t/q6y3t81/backing-up-data-to-amazon-s3,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Data backup,migrate,admin/data-backup/backing-up-data-to-amazon-s3,guide,admin
Lookup an external data object,/t/x2y3myx/lookup-an-external-data-object,Product Documentation / 📒 User guide / Apps / Building apps / External data object,migrate,build/external-data/lookup-an-external-data-object,guide,citizen-developer
Kissflow connector for BI,/t/h7yqvd3/kissflow-connector-for-bi,Product Documentation / 📒 User guide / Analytics / Connector for BI,migrate,build/analytics/kissflow-connector-for-bi,guide,citizen-developer
Board governance,/t/h7hvts0/board-governance,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/board-governance,guide,admin
Launching Kissflow Apps,/t/83h9qk5/launching-kissflow-apps,Product Documentation / 📒 User guide / Apps / Introduction to Kissflow Apps,migrate,build/apps/launching-kissflow-apps,overview,citizen-developer
Creating procurement spend analysis report by department and product category,/t/83h9qz8/creating-procurement-spend-analysis-report-by-department-and-product-category,Product Documentation / 📒 User guide / Analytics / Use cases and solutions,migrate,build/analytics/creating-procurement-spend-analysis-report-by-department-and-product-category,guide,citizen-developer
Using reports,/t/y4h9qzg/using-reports,Product Documentation / 📒 User guide / Analytics / Reports in analytics,migrate,build/analytics/using-reports,guide,citizen-developer
Microsoft Excel connector,/t/35h4alc/microsoft-excel-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/microsoft-excel-connector,reference,citizen-developer
Creating and using board views,/t/p8h9ql8/creating-and-using-board-views,Product Documentation / 📒 User guide / Boards / Board views,migrate,build/boards/creating-and-using-board-views,guide,citizen-developer
Watching an item in a board,/t/h7h9qlk/watching-an-item-in-a-board,Product Documentation / 📒 User guide / Boards / Using boards,migrate,use/boards/watching-an-item-in-a-board,guide,end-user
Field settings,/t/x2h4az9/field-settings,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Fields,migrate,build/forms/field-settings,reference,citizen-developer
Status summary report,/t/x2h9ql5/status-summary-report,Product Documentation / 📒 User guide / Boards / Reports in Boards / Board metrics,migrate,build/boards/status-summary-report,reference,citizen-developer
Managing process members and permissions,/t/p8h9qtp/managing-process-members-and-permissions,Product Documentation / 📒 User guide / Processes / Administering processes,migrate,admin/processes/managing-process-members-and-permissions,guide,admin
Service account overview,/t/g9h4akd/service-account-overview,Product Documentation / 📒 User guide / Account management / Service accounts / Service accounts,migrate,admin/service-accounts/service-account-overview,overview,admin
Creating a process,/t/35h9qtd/creating-a-process,Product Documentation / 📒 User guide / Processes / Processes,migrate,build/processes/creating-a-process,guide,citizen-developer
"Account details, customization, and connected domains",/t/m1h4akp/account-details-customization-and-connected-domains,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Account settings,migrate,admin/account-settings/account-details-customization-and-connected-domains,guide,admin
Assignment preference,/t/p8h9qt8/assignment-preference,Product Documentation / 📒 User guide / Processes / Process workflows,migrate,build/processes/workflow-design/assignment-preference,guide,citizen-developer
"Personal info, format settings, and task delegation",/t/q6h4az6/personal-info-format-settings-and-task-delegation,Product Documentation / 📒 User guide / Account management / Account settings / My settings / General settings,migrate,use/personal-settings/personal-info-format-settings-and-task-delegation,guide,end-user
Getting started with Space,/t/x2h9qf3/getting-started-with-space,Product Documentation / 📒 User guide / Chats & Spaces / Spaces,archive,,guide,shared
Starting conference calls,/t/g9h9qfq/starting-conference-calls,Product Documentation / 📒 User guide / Chats & Spaces / Chat,archive,,guide,shared
Working with app connectors,/t/35h9qkl/working-with-app-connectors,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Signing in to Kissflow,/t/60h9qz9/signing-in-to-kissflow,Product Documentation / 🎬 Getting started / Onboarding guide,migrate,get-started/signing-in-to-kissflow,tutorial,shared
Data form settings,/t/y4h9qka/data-form-settings,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms (old),merge,build/forms/data-form-settings,guide,citizen-developer
Sequence number,/t/y4h4azw/sequence-number,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/sequence-number,reference,citizen-developer
Integrations overview,/t/g9h4alw/integrations-overview,Product Documentation / 📒 User guide / Integrations / Integrations,migrate,build/integrations/integrations-overview,overview,citizen-developer
IF function,/t/x2h4alm/if-function,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/if-function,reference,citizen-developer
Creating an app,/t/x2yz5hz/creating-an-app,Product Documentation / 📒 User guide / Apps / Introduction to Kissflow Apps,migrate,build/apps/creating-an-app,overview,citizen-developer
Accessing an app,/t/m1yzjv0/accessing-an-app,Product Documentation / 📒 User guide / Apps / Deploying apps,migrate,build/apps/accessing-an-app,guide,citizen-developer
Integrating external data object,/t/83y3my8/integrating-external-data-object,Product Documentation / 📒 User guide / Apps / Building apps / External data object,migrate,build/external-data/integrating-external-data-object,guide,citizen-developer
Governing connections,/t/y4yhpf5/governing-connections,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/governing-connections,guide,admin
Enabling Kissflow connector for BI,/t/83h9qzp/enabling-kissflow-connector-for-bi,Product Documentation / 📒 User guide / Analytics / Connector for BI,migrate,build/analytics/enabling-kissflow-connector-for-bi,guide,citizen-developer
Logical expressions,/t/h7h4aly/logical-expressions,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/logical-expressions,reference,citizen-developer
Creating an app integration,/t/35yzjvk/creating-an-app-integration,Product Documentation / 📒 User guide / Apps / Building apps / Integrations in apps,migrate,build/integrations/creating-an-app-integration,guide,citizen-developer
Working with the page builder,/t/x2yzj96/working-with-the-page-builder,Product Documentation / 📒 User guide / Apps / Building apps / Pages,migrate,build/pages/working-with-the-page-builder,guide,citizen-developer
Managing process roles and permissions,/t/83yzjcs/managing-process-roles-and-permissions,Product Documentation / 📒 User guide / Apps / Building apps / Processes in apps,migrate,build/processes/managing-process-roles-and-permissions,guide,citizen-developer
Public form,/t/q6yzjas/public-form,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/public-form,guide,citizen-developer
Creating and customizing a board,/t/60yzjaf/creating-and-customizing-a-board,Product Documentation / 📒 User guide / Apps / Building apps / Boards in apps,migrate,build/boards/creating-and-customizing-a-board,guide,citizen-developer
Evaluation settings,/t/y4yxbl4/evaluation-settings,Product Documentation / 📒 User guide / Decision tables / Decision tables for Kissflow Apps,migrate,build/decision-tables/evaluation-settings,guide,citizen-developer
Backing up data to Google Cloud Service (GCS),/t/x2y3t8a/backing-up-data-to-google-cloud-service-gcs,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Data backup,migrate,admin/data-backup/backing-up-data-to-google-cloud-service-gcs,guide,admin
Managing external data objects in the production environment,/t/p8y3myz/managing-external-data-objects-in-the-production-environment,Product Documentation / 📒 User guide / Apps / Building apps / External data object,migrate,build/external-data/managing-external-data-objects-in-the-production-environment,guide,citizen-developer
Process table in Analytics,/t/83yq9jv/process-table-in-analytics,Product Documentation / 📒 User guide / Analytics / Data sources in analytics,migrate,build/analytics/process-table-in-analytics,guide,citizen-developer
Creating process item completion time report with Analytics,/t/p8yq165/creating-process-item-completion-time-report-with-analytics,Product Documentation / 📒 User guide / Analytics / Use cases and solutions,migrate,build/analytics/creating-process-item-completion-time-report-with-analytics,guide,citizen-developer
Connecting Kissflow connector for BI with Microsoft Power BI,/t/35yq1mq/connecting-kissflow-connector-for-bi-with-microsoft-power-bi,Product Documentation / 📒 User guide / Analytics / Connector for BI,migrate,build/analytics/connecting-kissflow-connector-for-bi-with-microsoft-power-bi,guide,citizen-developer
Dataset governance,/t/p8hvtsa/dataset-governance,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/dataset-governance,guide,admin
Tabular reports,/t/g9h9qzb/tabular-reports,Product Documentation / 📒 User guide / Analytics / Reports in analytics,migrate,build/analytics/tabular-reports,guide,citizen-developer
Configuring your board settings,/t/60h9ql7/configuring-your-board-settings,Product Documentation / 📒 User guide / Boards / Managing boards,migrate,build/boards/configuring-your-board-settings,guide,citizen-developer
Currency field,/t/m1h4azb/currency-field,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/currency-field,reference,citizen-developer
Field validations,/t/m1h4az4/field-validations,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Fields,migrate,build/forms/field-validations,reference,citizen-developer
Creating a form,/t/h7h4azm/creating-a-form,Product Documentation / 📒 User guide / Forms & Expressions / Forms,migrate,build/forms/creating-a-form,guide,citizen-developer
Creating and managing service accounts,/t/h7h4ak2/creating-and-managing-service-accounts,Product Documentation / 📒 User guide / Account management / Service accounts / Service accounts,migrate,admin/service-accounts/creating-and-managing-service-accounts,guide,admin
Chat notifications and sounds,/t/m1h9qfy/chat-notifications-and-sounds,Product Documentation / 📒 User guide / Chats & Spaces / Chat,archive,,guide,shared
Creating an integration,/t/60h4akx/creating-an-integration,Product Documentation / 📒 User guide / Integrations / Integrations,migrate,build/integrations/creating-an-integration,guide,citizen-developer
Managing filters,/t/g9h4al1/managing-filters,Product Documentation / 📒 User guide / Datasets / Administering datasets,migrate,admin/datasets/managing-filters,guide,admin
Task delegation,/t/60h4ak1/task-delegation,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Additional settings,migrate,admin/account-settings/task-delegation,guide,admin
Portal overview,/t/m1h4azh/portal-overview,Product Documentation / 📒 User guide / Portal / Portals,migrate,admin/portals/portal-overview,overview,admin
Introduction to Kissflow App Store,/t/60h9qts/introduction-to-kissflow-app-store,Product Documentation / 📒 User guide / Apps / App Store,migrate,app-store/introduction-to-kissflow-app-store,overview,shared
Creating spaces,/t/35h9qf6/creating-spaces,Product Documentation / 📒 User guide / Chats & Spaces / Spaces,archive,,guide,shared
User management overview,/t/m1h4akn/user-management-overview,Product Documentation / 📒 User guide / Account management / User and group management / User management,migrate,admin/users/user-management-overview,overview,admin
My items,/t/x2h9qzv/my-items,Product Documentation / 🎬 Getting started / Onboarding guide,migrate,get-started/my-items,tutorial,shared
"Notes, status logs, and activity logs in boards",/t/35h9qll/notes-status-logs-and-activity-logs-in-boards,Product Documentation / 📒 User guide / Boards / Using boards,migrate,use/boards/notes-status-logs-and-activity-logs-in-boards,guide,end-user
Data table view,/t/60h9q1h/data-table-view,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms (old),merge,build/forms/data-table-view-alt2,guide,citizen-developer
App environments,/t/g9h9qkp/app-environments,Product Documentation / 📒 User guide / Apps / Introduction to Kissflow Apps,migrate,build/apps/app-environments,overview,citizen-developer
Android devices,/t/p8h9qzc/android-devices,Product Documentation / 🎬 Getting started / Mobile guide,migrate,use/mobile/android-devices,guide,end-user
Best practices for simultaneous tasks,/t/x2h9qtq/best-practices-for-simultaneous-tasks,Product Documentation / 📒 User guide / Processes / Process workflows,migrate,build/processes/workflow-design/best-practices-for-simultaneous-tasks,guide,citizen-developer
Changing the background theme,/t/83h4az3/changing-the-background-theme,Product Documentation / 📒 User guide / Account management / Account settings / My settings / Themes,migrate,use/personal-settings/changing-the-background-theme,guide,end-user
Format settings,/t/p8h4akf/format-settings,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Account settings,migrate,admin/account-settings/format-settings,guide,admin
ClickSend connector,/t/y4h4ala/click-send,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/click-send,reference,citizen-developer
SCIM overview,/t/p8h4ak4/scim-overview,Product Documentation / 📒 User guide / Account management / User provisioning / SCIM provisioning,migrate,admin/provisioning/scim-overview,overview,admin
List expressions,/t/q6h4all/list-expression,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/list-expression,reference,citizen-developer
"Renaming, Duplicating, and archiving app integrations",/t/x2yzjvh/renaming-duplicating-and-archiving-app-integrations,Product Documentation / 📒 User guide / Apps / Building apps / Integrations in apps,migrate,build/integrations/renaming-duplicating-and-archiving-app-integrations,guide,citizen-developer
Master details,/t/83yzj44/master-details,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/master-details,reference,citizen-developer
Managing board roles and permissions,/t/m1yzjak/managing-board-roles-and-permissions,Product Documentation / 📒 User guide / Apps / Building apps / Boards in apps,migrate,build/boards/managing-board-roles-and-permissions,guide,citizen-developer
Backing up data to Google Drive,/t/y4y3tn4/backing-up-data-to-google-drive,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Data backup,migrate,admin/data-backup/backing-up-data-to-google-drive,guide,admin
Board table in Analytics,/t/83yqk6f/board-table-in-analytics,Product Documentation / 📒 User guide / Analytics / Data sources in analytics,migrate,build/analytics/board-table-in-analytics,guide,citizen-developer
Process audit log,/t/g9h9qtg/process-audit-log,Product Documentation / 📒 User guide / Processes / Administering processes,migrate,admin/processes/process-audit-log,guide,admin
Creating and managing access keys,/t/q6h4akr/creating-and-managing-access-keys,Product Documentation / 📒 User guide / Account management / Service accounts / Service accounts,migrate,admin/service-accounts/creating-and-managing-access-keys,guide,admin
Reserved keywords,/t/60h4azl/reserved-keywords,Product Documentation / 📒 User guide / Forms & Expressions / Forms,migrate,build/forms/reserved-keywords,guide,citizen-developer
Viewing notifications,/t/x2h4azy/viewing-notifications,Product Documentation / 📒 User guide / Account management / Account settings / My settings / Notification settings,migrate,use/personal-settings/viewing-notifications,guide,end-user
Flow settings,/t/h7h4akl/flow-settings,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Additional settings,migrate,admin/account-settings/flow-settings,guide,admin
Editing a process item after submitting,/t/q6h9qtw/editing-a-process-item-after-submitting,Product Documentation / 📒 User guide / Processes / Processes,migrate,build/processes/editing-a-process-item-after-submitting,guide,citizen-developer
Working with connectors,/t/p8h4ald/working-with-connectors,Product Documentation / 📒 User guide / Integrations / Integrations,migrate,build/integrations/working-with-connectors,guide,citizen-developer
Directory sync overview,/t/35h4a13/directory-sync-overview,Product Documentation / 📒 User guide / Account management / User provisioning / Directory sync,migrate,admin/provisioning/directory-sync-overview,overview,admin
Managing apps,/t/q6yzjvv/managing-apps,Product Documentation / 📒 User guide / Apps / Deploying apps,migrate,build/apps/managing-apps,guide,citizen-developer
Settings in apps,/t/x2yzjvr/settings-in-apps,Product Documentation / 📒 User guide / Apps / Settings / App settings,migrate,build/apps/settings-in-apps,reference,citizen-developer
Managing integrations in apps,/t/m1yzjvt/managing-integrations-in-apps,Product Documentation / 📒 User guide / Apps / Building apps / Integrations in apps,migrate,build/integrations/managing-integrations-in-apps,guide,citizen-developer
Setting up conditional visibility for page components,/t/m1yzj98/setting-up-conditional-visibility-for-page-components,Product Documentation / 📒 User guide / Apps / Building apps / Pages,migrate,build/pages/setting-up-conditional-visibility-for-page-components,guide,citizen-developer
Popup,/t/35yzj4w/popup,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/popup,reference,citizen-developer
Board settings,/t/y4yzjap/board-settings,Product Documentation / 📒 User guide / Apps / Building apps / Boards in apps,migrate,build/boards/board-settings,guide,citizen-developer
Auto-generating condition values,/t/h7yxblv/auto-generating-condition-values,Product Documentation / 📒 User guide / Decision tables / Decision tables for Kissflow Apps,migrate,build/decision-tables/auto-generating-condition-values,guide,citizen-developer
Backing up data to Kissflow,/t/y4y3t7g/backing-up-data-to-kissflow,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Data backup,migrate,admin/data-backup/backing-up-data-to-kissflow,guide,admin
Dataset table in Analytics,/t/60yq9rz/dataset-table-in-analytics,Product Documentation / 📒 User guide / Analytics / Data sources in analytics,migrate,build/analytics/dataset-table-in-analytics,guide,citizen-developer
Creating process step performance report with Analytics,/t/g9yqk6g/creating-process-step-performance-report-with-analytics,Product Documentation / 📒 User guide / Analytics / Use cases and solutions,migrate,build/analytics/creating-process-step-performance-report-with-analytics,guide,citizen-developer
Using remote lookup field to get currency exchange rate,/t/x2yq224/using-remote-lookup-field-to-get-currency-exchange-rate,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Remote lookup,migrate,build/forms/field-types/using-remote-lookup-field-to-get-currency-exchange-rate,reference,citizen-developer
Multilingual settings in forms,/t/83hvnzt/multilingual-settings-in-forms,Product Documentation / 📒 User guide / Forms & Expressions / Forms,migrate,build/forms/multilingual-settings-in-forms,guide,citizen-developer
Governing lists,/t/x2hvts9/governing-lists,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/governing-lists,guide,admin
Chart reports,/t/h7h9qzr/chart-reports,Product Documentation / 📒 User guide / Analytics / Reports in analytics,migrate,build/analytics/chart-reports,guide,citizen-developer
Entra ID connector,/t/83h4al0/microsoft-entra-id,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/microsoft-entra-id,reference,citizen-developer
Process settings,/t/m1h9qt5/process-settings,Product Documentation / 📒 User guide / Processes / Administering processes,migrate,admin/processes/process-settings,guide,admin
Importing and exporting data from a dataset,/t/x2h4alj/importing-and-exporting-data-from-a-dataset,Product Documentation / 📒 User guide / Datasets / Administering datasets,migrate,admin/datasets/importing-and-exporting-data-from-a-dataset,guide,admin
Creating and managing portals,/t/g9h4azq/creating-and-managing-portals,Product Documentation / 📒 User guide / Portal / Portals,migrate,admin/portals/creating-and-managing-portals,guide,admin
Exporting items from a board,/t/y4h9qlz/exporting-items-from-a-board,Product Documentation / 📒 User guide / Boards / Using boards,migrate,use/boards/exporting-items-from-a-board,guide,end-user
Deleting process items,/t/h7h9qt1/deleting-process-items,Product Documentation / 📒 User guide / Processes / Processes,migrate,build/processes/deleting-process-items,guide,citizen-developer
"Archiving, deleting, and duplicating a board",/t/x2h9ql0/archiving-deleting-and-duplicating-a-board,Product Documentation / 📒 User guide / Boards / Managing boards,migrate,build/boards/archiving-deleting-and-duplicating-a-board,guide,citizen-developer
Priority summary report,/t/g9h9qlp/priority-summary-report,Product Documentation / 📒 User guide / Boards / Reports in Boards / Board metrics,migrate,build/boards/priority-summary-report,reference,citizen-developer
Boards overview,/t/q6h9ql3/boards-overview,Product Documentation / 📒 User guide / Boards / Boards,migrate,build/boards/boards-overview-alt2,overview,citizen-developer
Overview of Kissflow Analytics,/t/m1h9qzd/overview-of-kissflow-analytics,Product Documentation / 📒 User guide / Analytics / Working with Kissflow Analytics,migrate,build/analytics/overview-of-kissflow-analytics,overview,citizen-developer
Managing integrations,/t/x2h4ak8/managing-integrations,Product Documentation / 📒 User guide / Integrations / Managing integrations,migrate,build/integrations/managing-integrations,guide,citizen-developer
Impersonation in service accounts,/t/p8h4akb/impersonation-in-service-accounts,Product Documentation / 📒 User guide / Account management / Service accounts / Service accounts,migrate,admin/service-accounts/impersonation-in-service-accounts,guide,admin
Audit log,/t/h7h4akc/audit-log,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Audit log,migrate,admin/audit-log/audit-log,guide,admin
Email actions,/t/h7h9qtx/email-actions,Product Documentation / 📒 User guide / Processes / Process workflows,migrate,build/processes/workflow-design/email-actions,guide,citizen-developer
Troubleshooting guide - common issues and solutions,/t/q6h9qtv/troubleshooting-guide-common-issues-and-solutions,Product Documentation / 💼 Troubleshooting guide / Troubleshooting tips and tricks,migrate,reference/troubleshooting/troubleshooting-guide-common-issues-and-solutions,troubleshooting,shared
Using spaces,/t/y4h9qf8/using-spaces,Product Documentation / 📒 User guide / Chats & Spaces / Spaces,archive,,guide,shared
Creating group chats,/t/p8h9qlv/creating-group-chats,Product Documentation / 📒 User guide / Chats & Spaces / Chat,archive,,guide,shared
Run script connector,/t/35h9qfg/run-script-connector,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Gallery view,/t/g9h9q1q/gallery-view,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms (old),merge,build/forms/gallery-view-alt2,guide,citizen-developer
Weekends and holidays,/t/q6h4aka/weekends-and-holidays,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Account settings,migrate,admin/account-settings/weekends-and-holidays,guide,admin
SLAs and support models,/t/35h9qt9/slas-and-support-models,Product Documentation / 🔎 Quick references / Important information,migrate,whats-new/important-notices/slas-and-support-models,reference,shared
Contextual global search,/t/83h9qlq/contextual-global-search,Product Documentation / 🎬 Getting started / Onboarding guide,migrate,get-started/contextual-global-search,tutorial,shared
Field visibility,/t/g9h4aza/field-visibility,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Fields,migrate,build/forms/field-visibility,reference,citizen-developer
Configuring Azure AD directory sync,/t/q6h4a1x/configuring-azure-ad-directory-sync,Product Documentation / 📒 User guide / Account management / User provisioning / Directory sync,migrate,admin/provisioning/configuring-azure-ad-directory-sync,guide,admin
iOS devices,/t/q6h9qz0/ios-devices,Product Documentation / 🎬 Getting started / Mobile guide,migrate,use/mobile/ios-devices,guide,end-user
Integration settings,/t/y4h4akm/integration-settings,Product Documentation / 📒 User guide / Integrations / Managing integrations,migrate,build/integrations/integration-settings,guide,citizen-developer
Yes/No field,/t/35h4azn/yes-no-field,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/yes-no-field,reference,citizen-developer
Workflow step expressions,/t/60h4al8/workflow-step-expressions,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/workflow-step-expressions,reference,citizen-developer
Multilingual settings in Apps,/t/y4yzjvb/multilingual-settings-in-apps,Product Documentation / 📒 User guide / Apps / Settings / App settings,migrate,build/apps/multilingual-settings-in-apps,reference,citizen-developer
Working with app connectors,/t/35yzj95/working-with-app-connectors,Product Documentation / 📒 User guide / Apps / Building apps / Connections,migrate,build/integrations/working-with-app-connectors,guide,citizen-developer
Exporting data from a data table view,/t/35yzja7/exporting-data-from-a-data-table-view,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/exporting-data-from-a-data-table-view,guide,citizen-developer
Pivot reports,/t/q6h9qz5/pivot-reports,Product Documentation / 📒 User guide / Analytics / Reports in analytics,migrate,build/analytics/pivot-reports,guide,citizen-developer
Importing items from a CSV file,/t/g9h9ql6/importing-items-from-a-csv-file,Product Documentation / 📒 User guide / Boards / Using boards,migrate,use/boards/importing-items-from-a-csv-file,guide,end-user
Building a board,/t/35h9qly/building-a-board,Product Documentation / 📒 User guide / Boards / Boards,migrate,build/boards/building-a-board,guide,citizen-developer
Due date summary report,/t/60h9qlg/due-date-summary-report,Product Documentation / 📒 User guide / Boards / Reports in Boards / Board metrics,migrate,build/boards/due-date-summary-report,reference,citizen-developer
Understanding data sources,/t/x2h9qzw/understanding-data-sources,Product Documentation / 📒 User guide / Analytics / Working with Kissflow Analytics,migrate,build/analytics/understanding-data-sources,guide,citizen-developer
Reports overview,/t/p8h9qtn/reports-overview,Product Documentation / 📒 User guide / Processes / Process reports,migrate,build/processes/reports-overview,overview,citizen-developer
Administering portals,/t/p8h4atv/administering-portals,Product Documentation / 📒 User guide / Portal / Portals,migrate,admin/portals/administering-portals,guide,admin
List overview,/t/g9h4azz/list-overview,Product Documentation / 📒 User guide / Forms & Expressions / Lists,migrate,build/lists/list-overview,overview,citizen-developer
"Dropdown, Multi-select dropdown, Checkbox, Checklists, and Radio buttons",/t/35h4azp/dropdown-multi-select-dropdown-checkbox-checklists-and-radio-buttons,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Dropdown fields,migrate,build/forms/field-types/dropdown-multi-select-dropdown-checkbox-checklists-and-radio-buttons,reference,citizen-developer
User roles and permissions,/t/35h4ak0/user-roles-and-permissions,Product Documentation / 📒 User guide / Account management / User and group management / User management,migrate,admin/users/user-roles-and-permissions,guide,admin
Accessing Kissflow App Store,/t/83h9qtc/accessing-kissflow-app-store,Product Documentation / 📒 User guide / Apps / App Store,migrate,app-store/accessing-kissflow-app-store,guide,shared
Group wall,/t/y4h9qlc/group-wall,Product Documentation / 📒 User guide / Chats & Spaces / Chat,archive,,guide,shared
Creating user workload report with Analytics,/t/q6h9qzt/creating-user-workload-report-with-analytics,Product Documentation / 📒 User guide / Analytics / Use cases and solutions,migrate,build/analytics/creating-user-workload-report-with-analytics,guide,citizen-developer
Setting up SCIM with Azure Active Directory,/t/m1h4a1q/setting-up-scim-with-azure-active-directory,Product Documentation / 📒 User guide / Account management / User provisioning / SCIM provisioning,migrate,admin/provisioning/setting-up-scim-with-azure-active-directory,guide,admin
Two-factor authentication,/t/y4h4azx/two-factor-authentication,Product Documentation / 📒 User guide / Account management / Account settings / My settings / Security settings,migrate,use/personal-settings/two-factor-authentication,guide,end-user
Field appearance,/t/60h4azc/field-appearance,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Fields,migrate,build/forms/field-appearance,reference,citizen-developer
Managing processes in PWA,/t/35h9qzs/managing-processes-in-pwa,Product Documentation / 🎬 Getting started / Mobile guide,migrate,use/mobile/managing-processes-in-pwa,guide,end-user
Extracting a text and number using remote lookup,/t/h7h4azs/extracting-a-text-and-number-using-remote-lookup,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Remote lookup,migrate,build/forms/field-types/extracting-a-text-and-number-using-remote-lookup,reference,citizen-developer
Application-to-application lookup through linking,/t/35yzjvd/application-to-application-lookup-through-linking,Product Documentation / 📒 User guide / Apps / Settings / App settings,migrate,build/apps/application-to-application-lookup-through-linking,reference,citizen-developer
App integration settings,/t/g9yzjv6/app-integration-settings,Product Documentation / 📒 User guide / Apps / Building apps / Integrations in apps,migrate,build/integrations/app-integration-settings,guide,citizen-developer
Run script connector,/t/h7yzj92/run-script-connector,Product Documentation / 📒 User guide / Apps / Building apps / Connections,migrate,build/integrations/run-script-connector,guide,citizen-developer
Working with custom page components,/t/y4yzj4d/working-with-custom-page-components,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/working-with-custom-page-components,reference,citizen-developer
Process settings,/t/35yzjca/process-settings,Product Documentation / 📒 User guide / Apps / Building apps / Processes in apps,migrate,build/processes/process-settings,guide,citizen-developer
Dataform settings,/t/h7yzja5/dataform-settings,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/dataform-settings,guide,citizen-developer
Board metrics in apps,/t/83yzja1/board-metrics-in-apps,Product Documentation / 📒 User guide / Apps / Building apps / Boards in apps,migrate,build/boards/board-metrics-in-apps,guide,citizen-developer
Using advanced filters in apps,/t/h7yzj0v/using-advanced-filters-in-apps,Product Documentation / 📒 User guide / Apps / Building apps / Pages,migrate,build/pages/using-advanced-filters-in-apps,guide,citizen-developer
